Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Suitable for furniture type (product.metafields.shopify.suitable-for-furniture-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
chaise-lounges,Chaise Lounge Covers,"",My Store,,"","",true,Yards,2 yards,,,,,,,,Chaiselounges-2,0.0,shopify,0,continue,manual,50.00,,true,true,,,,,false,,,,,,,,,,,,,,,,lb,,,active
chaise-lounges,,,,,,,,,3 yards,,,,,,,,Chaiselounges-3,0.0,shopify,0,continue,manual,75.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,4 yards,,,,,,,,Chaiselounges-4,0.0,shopify,0,continue,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,5 yards,,,,,,,,Chaiselounges-5,0.0,shopify,0,continue,manual,125.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,6 yards,,,,,,,,Chaiselounges-6,0.0,shopify,0,continue,manual,150.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,7 yards,,,,,,,,Chaiselounges-7,0.0,shopify,0,continue,manual,175.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,8 yards,,,,,,,,Chaiselounges-8,0.0,shopify,0,continue,manual,200.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,9 yards,,,,,,,,Chaiselounges-9,0.0,shopify,0,continue,manual,225.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,10 yards,,,,,,,,Chaiselounges-10,0.0,shopify,0,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,11 yards,,,,,,,,Chaiselounges-11,0.0,shopify,0,continue,manual,275.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,12 yards,,,,,,,,Chaiselounges-12,0.0,shopify,0,continue,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,13 yards,,,,,,,,Chaiselounges-13,0.0,shopify,0,continue,manual,325.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,14 yards,,,,,,,,Chaiselounges-14,0.0,shopify,0,continue,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
chaise-lounges,,,,,,,,,15 yards,,,,,,,,Chaiselounges-15,0.0,shopify,0,continue,manual,375.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,Sofa/Loveseat Covers,"",My Store,,"","",true,Yards,2 yards,,,,,,,,sofas-loveseats-2,0.0,shopify,0,continue,manual,50.00,,true,true,,,,,false,,,,,,,,,,,,,,,,lb,,,active
sofas-loveseats,,,,,,,,,3 yards,,,,,,,,sofas-loveseats-3,0.0,shopify,0,continue,manual,75.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,4 yards,,,,,,,,sofas-loveseats-4,0.0,shopify,0,continue,manual,100.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,5 yards,,,,,,,,sofas-loveseats-5,0.0,shopify,0,continue,manual,125.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,6 yards,,,,,,,,sofas-loveseats-6,0.0,shopify,0,continue,manual,150.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,7 yards,,,,,,,,sofas-loveseats-7,0.0,shopify,0,continue,manual,175.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,8 yards,,,,,,,,sofas-loveseats-8,0.0,shopify,0,continue,manual,200.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,9 yards,,,,,,,,sofas-loveseats-9,0.0,shopify,0,continue,manual,225.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,10 yards,,,,,,,,sofas-loveseats-10,0.0,shopify,0,continue,manual,250.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,11 yards,,,,,,,,sofas-loveseats-11,0.0,shopify,0,continue,manual,275.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,12 yards,,,,,,,,sofas-loveseats-12,0.0,shopify,0,continue,manual,300.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,13 yards,,,,,,,,sofas-loveseats-13,0.0,shopify,0,continue,manual,325.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
sofas-loveseats,,,,,,,,,14 yards,,,,,,,,sofas-loveseats-14,0.0,shopify,0,continue,manual,350.00,,true,true,,,,,,,,,,,,,,,,,,,,,lb,,,
